Product ID,Product Position,Promotion,Product Category,Seasonal,Sales Volume,brand,name,description,price,currency,scraped_at,terms
185102,Aisle,No,Clothing,No,2823,Zara,BASIC PUFFER JACKET,Puffer jacket made of tear-resistant ripstop fabric. High collar and adjustable long sleeves with adhesive straps. Welt pockets at hip. Adjustable hem with side elastics. Front zip closure.,19.99,USD,2024-02-19T08:50:05.654618,jackets
188771,Aisle,No,Clothing,No,654,Zara,TUXEDO JACKET,Straight fit blazer. Pointed lapel collar and long sleeves with buttoned cuffs. Welt pockets at hip and interior pocket. Central back vent at hem. Front button closure.,169,USD,2024-02-19T08:50:06.590930,jackets
180176,End-cap,Yes,Clothing,Yes,2220,Zara,SLIM FIT SUIT JACKET,Slim fit jacket. Notched lapel collar. Long sleeves with buttoned cuffs. Welt pocket at chest and flap pockets at hip. Interior pocket. Back vents. Front button closure.,129,USD,2024-02-19T08:50:07.301419,jackets
112917,Aisle,Yes,Clothing,Yes,1568,Zara,STRETCH SUIT JACKET,Slim fit jacket made of viscose blend fabric. Notched lapel collar. Long sleeves with buttoned cuffs. Welt pocket at chest and flap pockets at hip. Interior pocket. Back vents. Front button closure.,129,USD,2024-02-19T08:50:07.882922,jackets
192936,End-cap,No,Clothing,Yes,2942,Zara,DOUBLE FACED JACKET,Jacket made of faux leather faux shearling with fleece interior. Tabbed lapel collar. Long sleeves. Zip pockets at hip. Front zip closure.,139,USD,2024-02-19T08:50:08.453847,jackets
117590,End-cap,No,Clothing,No,2968,Zara,CONTRASTING COLLAR JACKET,Relaxed fit jacket. Contrasting lapel collar and long sleeves with buttoned cuffs. Front pouch pockets. Interior pocket. Washed effect. Front zip closure.,79.9,USD,2024-02-19T08:50:09.140497,jackets
189118,Front of Store,Yes,Clothing,Yes,952,Zara,FAUX LEATHER PUFFER JACKET,Faux leather puffer jacket. High collar and long sleeves with ribbed interior cuffs. Welt pockets at hip. Interior pocket. Adjustable hem with side elastics. Front zip closure.,69.99,USD,2024-02-19T08:50:09.688951,jackets
182157,Aisle,No,Clothing,No,2421,Zara,SUIT JACKET IN 100% LINEN,Straight fit blazer made of linen. Notched lapel collar and long sleeves with buttoned cuffs. Welt pocket at chest and flap pockets at hip. Interior pocket. Back vents. Front button closure.,159,USD,2024-02-19T08:50:10.200777,jackets
141861,Aisle,Yes,Clothing,Yes,1916,Zara,100% WOOL SUIT JACKET,Jacket made of Italian wool. Pointed lapel collar and long sleeves with buttoned cuffs. Welt pocket at chest and flap pockets at hip. Interior pocket. Back vents. Front button closure.,169,USD,2024-02-19T08:50:10.880741,jackets
137121,Aisle,No,Clothing,Yes,656,Zara,100% FEATHER FILL PUFFER JACKET,Puffer jacket made of shiny finish technical fabric. Fill is a blend of 80% down and 20% feathers. High collar with adjustable hood and long sleeves with elastic cuffs. Welt pockets at hip and interior pocket. Adjustable hem with side elastics. Front zip closure.,169,USD,2024-02-19T08:50:11.380061,jackets
113143,Aisle,Yes,Clothing,Yes,2663,Zara,HERRINGBONE TEXTURED JACKET,Jacket made of wool blend fabric. Lapel collar and long sleeves. Welt pockets at hip. Front zip closure.,129,USD,2024-02-19T08:50:12.011296,jackets
140028,Aisle,Yes,Clothing,Yes,1260,Zara,OVERSIZED CROPPED JACKET LIMITED EDITION,Oversized cropped jacket. Notched lapel collar and long sleeves with buttoned cuffs. Flap pockets at waist ad interior pocket. Front button closure.,159,USD,2024-02-19T08:50:12.510507,jackets
134693,Aisle,Yes,Clothing,No,2124,Zara,LEATHER BIKER JACKET,Jacket with lapel collar and snap button details. Long sleeves with zip cuffs. Front zip pockets and interior pocket. Asymmetric front closure with metal zipper.,169,USD,2024-02-19T08:50:13.210501,jackets
151396,Front of Store,Yes,Clothing,Yes,729,Zara,CROPPED LEATHER JACKET,Leather jacket. Cropped length. Lapel collar and long sleeves. Front hidden in-seam pockets. Front zip closure.,439,USD,2024-02-19T08:50:13.771115,jackets
132889,Aisle,Yes,Clothing,Yes,2265,Zara,FAUX LEATHER BOXY FIT JACKET,Boxy fit jacket. Lapel collar and long sleeves with buttoned cuffs. Welt pockets at hip. Front button closure.,99.9,USD,2024-02-19T08:50:14.252907,jackets
152174,End-cap,No,Clothing,No,2226,Zara,FAUX LEATHER JACKET,Jacket made of faux leather fabric. Lapel collar with snap button details. Long sleeves with zip cuffs. Front zip pockets at chest and hip. Interior pocket. Asymmetric front closure with metal zipper.,99.9,USD,2024-02-19T08:50:14.853868,jackets
129906,Aisle,No,Clothing,No,2089,Zara,FAUX SUEDE BOMBER JACKET,Jacket made of faux suede fabric. Ribbed elastic high collar and long sleeve. Welt pockets at hip. Rib trim. Front zip closure.,69.9,USD,2024-02-19T08:50:15.386895,jackets
195879,Front of Store,Yes,Clothing,Yes,2339,Zara,DENIM BOMBER JACKET,Jacket made of denim fabric with padded interior. Rib elastic collar and long sleeves. Welt pockets at hip and interior pocket. Elastic hem. All-over contrasting topstitching details. Front zip closure.,129,USD,2024-02-19T08:50:15.895051,jackets
155050,Aisle,No,Clothing,Yes,2321,Zara,BOUCLÉ TEXTURED JACKET,Cropped jacket made with wool blend fabric. High collar and long sleeves with elastic cuffs. Front patch pockets with flaps. Elastic hem. Front snap button closure.,129,USD,2024-02-19T08:50:16.580479,jackets
194410,End-cap,No,Clothing,No,669,Zara,SUIT JACKET IN 100% LINEN,Straight fit blazer made of linen. Notched lapel collar and long sleeves with buttoned cuffs. Flap pockets at hip. Interior pocket. Back vents. Front button closure.,159,USD,2024-02-19T08:50:17.153559,jackets
141904,End-cap,Yes,Clothing,Yes,1712,Zara,JACQUARD DENIM JACKET,Lapel collar jacket with long sleeves with buttoned cuffs. Patch pockets with flaps at chest and side pockets at hip. Front hidden button closure.,109,USD,2024-02-19T08:50:17.639427,jackets
124981,Front of Store,No,Clothing,Yes,1832,Zara,PADDED DENIM JACKET,Cropped jacket with lightly quilted interior. Lapel collar and long sleeves. Flap patch pockets at hip. Washed effect. Rib hems. Front zip closure.,89.9,USD,2024-02-19T08:50:18.264732,jackets
161909,Aisle,Yes,Clothing,No,1290,Zara,LEATHER JACKET,Relaxed fit jacket in leather. Spread collar and long sleeves with slit cuffs with button closure. Patch pockets at hip. Back vents. Front button closure.,299,USD,2024-02-19T08:50:18.813979,jackets
129152,End-cap,No,Clothing,No,2356,Zara,LIGHTWEIGHT BOMBER JACKET,Lightweight jacket made of technical fabric. Round neck and long sleeves. Welt pockets at hip. Interior pocket. Rib trim. Front zip closure.,49.9,USD,2024-02-19T08:50:19.405469,jackets
183243,Front of Store,Yes,Clothing,No,1524,Zara,SUIT JACKET,Straight fit jacket made of dense stretch fabric. Notched lapel collar and long sleeves with buttoned cuffs. Welt pocket at chest and flap pockets at hip. Interior pocket. Back vents. Front button closure.,169,USD,2024-02-19T08:50:19.899287,jackets
198248,Front of Store,Yes,Clothing,No,1644,Zara,FAUX LEATHER BOMBER JACKET,Jacket made of faux leather fabric. High collar and long sleeves. Welt pockets at hip and interior pocket. Rib trim. Front zip closure.,69.9,USD,2024-02-19T08:50:20.387337,jackets
191230,End-cap,No,Clothing,No,966,Zara,PATCH BOMBER JACKET,Varsity jacket made of faux suede fabric. Double welt pockets at hip and interior pocket. Front and back contrasting patch appliqués and embroidery. Rib trim. Front snap button closure.,89.9,USD,2024-02-19T08:50:20.940517,jackets
187234,Front of Store,Yes,Clothing,Yes,2575,Zara,STRETCH POCKET OVERSHIRT,Overshirt made of stretchy fabric. Lapel collar and long sleeves with snap buttoned cuffs. Chest patch pockets. Front snap button closure.,59.9,USD,2024-02-19T08:50:21.681257,jackets
148888,Front of Store,No,Clothing,No,2774,Zara,RIB COLLAR JACKET,Jacket made of technical fabric with padded interior. Tonal elastic rib high collar. Long sleeves. Welt pockets at hip and interior pocket. Interior elastic finish. Front zip closure.,109,USD,2024-02-19T08:50:22.196513,jackets
